city,area,rooms,bathroom,parking,floor,animal,furniture,total
São Paulo,92.0,3,2,2,0,not acept,not furnished,2582.0
Belo Horizonte,50.0,2,1,0,0,not acept,not furnished,1466.0
São Paulo,300.0,3,5,2,12,not acept,furnished,16990.0
Porto Alegre,90.0,3,1,1,6,acept,not furnished,2246.0
Campinas,36.0,1,1,0,4,not acept,not furnished,817.0
Rio de Janeiro,70.0,2,2,0,3,acept,not furnished,3429.0
São Paulo,200.0,3,3,2,0,acept,not furnished,3845.0
Rio de Janeiro,160.0,3,2,1,4,acept,furnished,9358.0
São Paulo,135.0,3,2,3,7,acept,not furnished,5412.0
São Paulo,70.0,1,1,0,0,acept,not furnished,1253.0
Belo Horizonte,95.0,2,1,1,4,not acept,furnished,2451.0
São Paulo,60.0,2,2,2,15,acept,not furnished,2707.0
São Paulo,36.0,1,1,0,1,acept,not furnished,921.0
São Paulo,136.0,3,3,3,4,acept,furnished,8647.0
São Paulo,250.0,3,2,2,0,acept,not furnished,3803.0
São Paulo,330.0,3,5,3,15,acept,not furnished,21090.0
Belo Horizonte,65.0,3,2,1,5,not acept,not furnished,1295.0
Campinas,380.0,3,4,4,0,acept,not furnished,12300.0
São Paulo,350.0,5,5,4,0,acept,not furnished,3513.0
Campinas,70.0,2,1,0,2,acept,not furnished,1218.0
Rio de Janeiro,65.0,2,2,0,2,acept,not furnished,2230.0
Rio de Janeiro,95.0,2,2,0,0,acept,not furnished,4188.0
São Paulo,120.0,2,1,1,0,acept,not furnished,1792.0
São Paulo,248.0,3,4,3,2,acept,not furnished,11210.0
São Paulo,100.0,2,1,2,0,not acept,not furnished,3667.0
São Paulo,394.0,4,6,4,23,acept,furnished,12550.0
Campinas,209.0,3,3,2,0,not acept,not furnished,3419.0
Rio de Janeiro,16.0,1,1,0,2,acept,not furnished,1043.0
São Paulo,49.0,2,1,1,8,acept,not furnished,2385.0
Rio de Janeiro,70.0,2,2,1,4,not acept,furnished,4916.0
Rio de Janeiro,150.0,3,2,3,2,acept,not furnished,2500.0
Porto Alegre,58.0,2,1,1,4,acept,not furnished,1627.0
São Paulo,200.0,3,4,1,8,not acept,furnished,8652.0
Belo Horizonte,400.0,3,3,0,0,acept,not furnished,3700.0
São Paulo,196.0,3,4,2,1,not acept,not furnished,6101.0
Porto Alegre,40.0,1,1,0,3,not acept,furnished,2030.0
Belo Horizonte,158.0,3,3,2,5,acept,not furnished,4906.0
São Paulo,130.0,2,1,1,0,acept,not furnished,4061.0
Campinas,48.0,1,2,0,2,acept,furnished,1750.0
São Paulo,72.0,2,1,1,7,acept,not furnished,1948.0
São Paulo,65.0,2,1,0,2,acept,not furnished,2160.0
Porto Alegre,60.0,2,1,1,7,acept,not furnished,2298.0
São Paulo,48.0,1,1,1,19,acept,not furnished,2119.0
Rio de Janeiro,47.0,1,1,0,2,not acept,not furnished,1747.0
Porto Alegre,84.0,2,1,0,3,acept,not furnished,1487.0
São Paulo,186.0,4,2,2,2,acept,not furnished,4032.0
Belo Horizonte,85.0,3,2,2,2,not acept,not furnished,2134.0
São Paulo,160.0,4,5,3,2,acept,furnished,6306.0
Rio de Janeiro,74.0,2,1,1,1,acept,not furnished,1077.0
São Paulo,18.0,1,1,0,0,acept,not furnished,1742.0
Porto Alegre,130.0,2,1,2,0,acept,not furnished,2145.0
Belo Horizonte,95.0,3,2,1,2,acept,not furnished,2813.0
São Paulo,105.0,3,2,3,1,acept,not furnished,3727.0
Belo Horizonte,85.0,2,2,1,6,acept,not furnished,2339.0
Belo Horizonte,50.0,1,1,2,0,acept,not furnished,1384.0
Rio de Janeiro,103.0,3,2,1,3,acept,not furnished,6584.0
São Paulo,54.0,2,1,1,1,acept,not furnished,1780.0
Campinas,75.0,2,1,2,1,acept,not furnished,1678.0
Belo Horizonte,63.0,3,2,2,2,not acept,not furnished,1588.0
Belo Horizonte,150.0,5,5,5,0,acept,furnished,15070.0
São Paulo,47.0,2,1,1,12,acept,not furnished,2187.0
Rio de Janeiro,140.0,3,2,3,2,acept,furnished,5361.0
Rio de Janeiro,40.0,1,1,0,2,acept,not furnished,1505.0
Belo Horizonte,115.0,3,2,1,2,not acept,not furnished,2674.0
São Paulo,160.0,4,3,2,9,acept,furnished,12740.0
Rio de Janeiro,80.0,1,1,0,0,not acept,not furnished,1530.0
Rio de Janeiro,75.0,2,1,1,2,acept,not furnished,1615.0
Porto Alegre,80.0,2,1,0,1,acept,not furnished,1029.0
São Paulo,80.0,2,2,1,0,acept,not furnished,3057.0
São Paulo,199.0,3,4,5,17,acept,furnished,8351.0
São Paulo,400.0,4,4,3,0,acept,not furnished,9678.0
São Paulo,70.0,1,1,0,0,not acept,not furnished,1266.0
São Paulo,300.0,4,5,4,0,acept,not furnished,5614.0
Belo Horizonte,70.0,2,1,1,6,acept,not furnished,1588.0
São Paulo,250.0,3,2,1,2,acept,not furnished,16810.0
Rio de Janeiro,27.0,1,1,0,12,acept,furnished,2139.0
São Paulo,54.0,2,1,1,12,not acept,not furnished,2827.0
São Paulo,225.0,4,5,4,22,acept,furnished,12310.0
São Paulo,125.0,3,2,1,9,acept,not furnished,5914.0
São Paulo,55.0,2,1,0,0,acept,not furnished,2106.0
São Paulo,186.0,3,3,2,22,not acept,not furnished,7259.0
Rio de Janeiro,154.0,3,3,1,5,acept,not furnished,6882.0
São Paulo,200.0,3,4,2,0,not acept,furnished,10370.0
São Paulo,246.0,3,4,3,8,acept,not furnished,8552.0
Porto Alegre,78.0,2,1,0,3,acept,not furnished,1713.0
São Paulo,70.0,2,1,1,0,acept,not furnished,2192.0
São Paulo,188.0,3,1,3,0,acept,not furnished,10120.0
Belo Horizonte,165.0,3,2,4,2,acept,furnished,3281.0
Campinas,63.0,2,1,0,1,acept,not furnished,1393.0
Belo Horizonte,200.0,4,2,2,5,acept,not furnished,6816.0
São Paulo,298.0,4,5,4,1,not acept,not furnished,10930.0
São Paulo,154.0,3,1,3,17,acept,furnished,8015.0
Campinas,110.0,3,2,2,7,not acept,not furnished,3127.0
Campinas,130.0,2,2,5,0,acept,not furnished,2149.0
São Paulo,32.0,1,1,1,18,not acept,furnished,5379.0
Rio de Janeiro,170.0,4,3,2,10,acept,not furnished,5462.0
São Paulo,69.0,2,1,0,8,acept,not furnished,2721.0
Rio de Janeiro,118.0,2,2,1,6,acept,not furnished,5872.0
Rio de Janeiro,90.0,3,1,0,4,acept,not furnished,3316.0
Campinas,65.0,1,1,1,9,acept,not furnished,1679.0
São Paulo,260.0,4,3,4,1,acept,furnished,8031.0
São Paulo,182.0,3,5,3,10,acept,not furnished,9438.0
São Paulo,41.0,1,1,1,10,not acept,not furnished,4545.0
São Paulo,45.0,1,1,0,0,acept,not furnished,1422.0
São Paulo,100.0,1,3,2,8,not acept,furnished,3457.0
São Paulo,66.0,2,1,0,7,acept,not furnished,2027.0
Belo Horizonte,71.0,3,2,2,4,acept,not furnished,1792.0
Campinas,94.0,2,1,1,1,acept,not furnished,1829.0
Rio de Janeiro,80.0,2,2,1,2,acept,not furnished,2275.0
São Paulo,41.0,1,1,1,4,not acept,furnished,3613.0
São Paulo,140.0,3,2,1,0,acept,not furnished,3883.0
Rio de Janeiro,70.0,3,1,1,2,acept,not furnished,1766.0
Campinas,58.0,1,1,1,3,acept,not furnished,1480.0
São Paulo,200.0,3,4,4,8,acept,furnished,8331.0
Rio de Janeiro,40.0,1,1,0,3,acept,not furnished,997.0
São Paulo,240.0,3,4,4,0,not acept,not furnished,4431.0
São Paulo,220.0,4,5,2,0,acept,not furnished,7774.0
São Paulo,132.0,3,2,2,8,acept,furnished,6101.0
Belo Horizonte,106.0,3,2,2,7,not acept,not furnished,3763.0
São Paulo,150.0,3,3,2,3,acept,furnished,4710.0
São Paulo,68.0,3,1,1,7,not acept,not furnished,2118.0
Porto Alegre,180.0,4,5,3,9,acept,furnished,13560.0
Porto Alegre,44.0,1,1,1,9,acept,not furnished,1499.0
Rio de Janeiro,75.0,2,1,0,3,acept,not furnished,3080.0
São Paulo,58.0,2,2,1,6,acept,not furnished,5215.0
São Paulo,72.0,2,1,0,9,acept,not furnished,3005.0
São Paulo,190.0,4,4,2,0,acept,not furnished,3868.0
Rio de Janeiro,150.0,3,2,1,10,acept,not furnished,2957.0
Campinas,550.0,3,7,8,0,acept,not furnished,8246.0
São Paulo,220.0,2,2,3,0,acept,not furnished,11410.0
São Paulo,200.0,3,2,3,0,acept,furnished,6300.0
Belo Horizonte,300.0,5,3,4,0,acept,not furnished,7979.0
São Paulo,70.0,2,2,0,3,not acept,not furnished,2661.0
Porto Alegre,45.0,1,1,1,1,acept,not furnished,998.0
Porto Alegre,55.0,2,1,0,3,acept,not furnished,1052.0
São Paulo,700.0,5,8,3,0,acept,not furnished,13180.0
Belo Horizonte,300.0,3,5,0,0,acept,not furnished,5901.0
Porto Alegre,220.0,4,5,2,0,acept,not furnished,7350.0
São Paulo,300.0,4,5,6,0,acept,furnished,17030.0
Porto Alegre,52.0,1,1,0,0,acept,not furnished,850.0
Rio de Janeiro,106.0,2,2,1,2,acept,not furnished,5925.0
Porto Alegre,84.0,2,2,2,6,acept,not furnished,4093.0
São Paulo,50.0,2,1,0,0,not acept,not furnished,1219.0
São Paulo,240.0,3,3,2,0,acept,not furnished,4353.0
São Paulo,240.0,3,3,4,0,acept,furnished,9121.0
Porto Alegre,260.0,2,2,1,3,not acept,not furnished,2014.0
São Paulo,73.0,2,2,1,11,acept,not furnished,2116.0
São Paulo,334.0,4,6,5,4,acept,not furnished,10070.0
São Paulo,67.0,2,1,1,6,acept,not furnished,1696.0
São Paulo,71.0,2,1,0,8,not acept,not furnished,2587.0
São Paulo,280.0,3,4,3,4,not acept,not furnished,13150.0
Belo Horizonte,450.0,5,5,3,0,acept,not furnished,7149.0
Porto Alegre,82.0,3,2,1,6,acept,not furnished,3296.0
São Paulo,380.0,4,5,4,4,acept,not furnished,14770.0
Porto Alegre,105.0,3,2,2,1,acept,not furnished,3159.0
São Paulo,55.0,1,1,1,10,acept,furnished,2377.0
São Paulo,45.0,1,1,0,0,not acept,not furnished,2220.0
São Paulo,70.0,2,2,1,5,acept,furnished,4077.0
São Paulo,160.0,3,3,0,0,not acept,not furnished,5576.0
São Paulo,48.0,2,1,1,1,acept,not furnished,2212.0
São Paulo,200.0,3,4,2,2,acept,not furnished,12000.0
São Paulo,46.0,2,1,0,5,acept,not furnished,1216.0
Rio de Janeiro,30.0,1,1,0,0,not acept,not furnished,689.0
Rio de Janeiro,140.0,3,2,1,10,acept,not furnished,5622.0
São Paulo,101.0,3,3,2,1,acept,not furnished,5769.0
São Paulo,340.0,2,4,3,14,acept,not furnished,21010.0
São Paulo,400.0,4,5,4,13,acept,furnished,11290.0
Campinas,55.0,2,1,1,2,acept,not furnished,1256.0
Rio de Janeiro,45.0,2,1,1,9,acept,not furnished,2047.0
São Paulo,62.0,2,2,0,0,acept,furnished,1269.0
Rio de Janeiro,75.0,2,1,0,1,acept,furnished,4178.0
São Paulo,86.0,3,1,1,6,acept,not furnished,3650.0
Porto Alegre,182.0,3,3,2,0,acept,not furnished,3369.0
Porto Alegre,30.0,1,1,1,0,acept,not furnished,791.0
Rio de Janeiro,153.0,4,3,1,0,acept,not furnished,2873.0
São Paulo,70.0,2,1,1,0,acept,not furnished,1194.0
Rio de Janeiro,82.0,2,1,1,11,acept,not furnished,2697.0
São Paulo,160.0,3,4,4,0,not acept,not furnished,7640.0
São Paulo,270.0,5,4,4,6,not acept,not furnished,12270.0
São Paulo,370.0,7,6,8,0,acept,not furnished,12030.0
São Paulo,470.0,4,6,2,7,acept,not furnished,11310.0
São Paulo,200.0,1,1,3,0,acept,not furnished,1889.0
São Paulo,62.0,2,2,0,6,not acept,not furnished,2155.0
São Paulo,64.0,2,2,1,4,acept,not furnished,3227.0
São Paulo,58.0,2,1,1,2,acept,not furnished,1284.0
Porto Alegre,75.0,2,2,0,9,not acept,not furnished,1856.0
São Paulo,200.0,2,2,2,11,acept,furnished,14600.0
São Paulo,36.0,1,1,1,11,acept,not furnished,2061.0
Porto Alegre,120.0,2,2,1,8,acept,not furnished,2709.0
Porto Alegre,62.0,2,2,2,3,acept,not furnished,2173.0
São Paulo,490.0,3,3,3,0,acept,furnished,5717.0
Belo Horizonte,67.0,2,2,2,7,not acept,not furnished,4078.0
São Paulo,161.0,3,3,3,8,acept,not furnished,5035.0
São Paulo,176.0,4,2,3,0,acept,not furnished,6301.0
São Paulo,178.0,4,4,4,16,acept,not furnished,7446.0
Porto Alegre,88.0,3,2,0,2,acept,not furnished,2234.0
Porto Alegre,470.0,3,3,4,0,acept,furnished,4112.0
São Paulo,257.0,4,3,2,0,acept,not furnished,8306.0
São Paulo,70.0,4,3,0,0,acept,not furnished,3823.0
Belo Horizonte,50.0,2,1,1,4,acept,not furnished,917.0
Belo Horizonte,89.0,3,2,1,2,acept,not furnished,1786.0
São Paulo,73.0,2,1,1,4,acept,not furnished,2018.0
São Paulo,95.0,3,2,2,14,acept,furnished,5883.0
Rio de Janeiro,54.0,2,1,1,9,acept,not furnished,2181.0
Belo Horizonte,150.0,4,1,3,4,acept,furnished,6550.0
Rio de Janeiro,139.0,2,3,1,5,acept,not furnished,7150.0
Porto Alegre,45.0,1,1,0,4,acept,furnished,1980.0
São Paulo,255.0,4,4,4,0,acept,not furnished,3827.0
São Paulo,100.0,1,1,0,0,acept,not furnished,2450.0
São Paulo,120.0,3,3,1,4,acept,not furnished,3922.0
Campinas,200.0,4,5,2,0,not acept,not furnished,9205.0
São Paulo,72.0,2,1,1,5,acept,not furnished,2202.0
Porto Alegre,50.0,1,1,0,0,acept,furnished,1133.0
São Paulo,158.0,3,4,3,5,not acept,furnished,14840.0
São Paulo,105.0,3,2,1,2,acept,not furnished,4722.0
São Paulo,50.0,2,1,1,5,acept,not furnished,1943.0
Belo Horizonte,65.0,2,2,0,3,acept,not furnished,1445.0
São Paulo,108.0,3,2,2,2,acept,not furnished,3201.0
Campinas,50.0,1,1,0,2,acept,not furnished,1559.0
São Paulo,198.0,3,3,6,0,acept,furnished,4514.0
Campinas,74.0,3,2,1,10,acept,not furnished,2643.0
Rio de Janeiro,71.0,2,2,1,13,not acept,furnished,8255.0
Porto Alegre,52.0,2,1,1,5,acept,not furnished,1559.0
Belo Horizonte,355.0,3,4,8,8,acept,not furnished,9886.0
Porto Alegre,162.0,3,1,0,1,acept,not furnished,1826.0
São Paulo,90.0,1,1,0,11,not acept,not furnished,2326.0
Porto Alegre,62.0,2,1,1,7,not acept,not furnished,1937.0
São Paulo,130.0,3,2,2,0,acept,furnished,3046.0
São Paulo,78.0,1,1,0,2,acept,not furnished,2999.0
São Paulo,276.0,4,5,4,0,acept,not furnished,5157.0
São Paulo,50.0,2,1,1,2,acept,not furnished,1988.0
Porto Alegre,35.0,1,1,0,2,acept,furnished,1922.0
Belo Horizonte,161.0,3,1,2,0,acept,not furnished,3993.0
São Paulo,30.0,1,1,0,3,not acept,not furnished,1272.0
São Paulo,251.0,4,4,3,10,acept,not furnished,8204.0
São Paulo,77.0,2,1,1,1,acept,furnished,4033.0
São Paulo,112.0,3,3,2,8,not acept,not furnished,5000.0
Campinas,273.0,4,2,2,4,acept,furnished,4968.0
Rio de Janeiro,55.0,1,1,1,8,acept,not furnished,1524.0
Campinas,80.0,3,2,2,14,not acept,not furnished,2610.0
São Paulo,400.0,4,5,3,0,acept,not furnished,16980.0
Rio de Janeiro,110.0,3,2,1,9,acept,not furnished,3733.0
São Paulo,262.0,4,5,4,17,acept,not furnished,6129.0
São Paulo,140.0,2,2,1,3,not acept,not furnished,14940.0
São Paulo,110.0,6,5,7,0,acept,not furnished,10960.0
Porto Alegre,46.0,1,1,1,3,acept,not furnished,1451.0
Porto Alegre,55.0,2,1,0,4,acept,not furnished,1954.0
Rio de Janeiro,70.0,2,1,1,5,not acept,not furnished,2303.0
São Paulo,60.0,2,2,1,1,acept,not furnished,2484.0
São Paulo,87.0,3,2,2,5,not acept,not furnished,5051.0
Porto Alegre,400.0,3,4,4,0,acept,furnished,16310.0
Porto Alegre,64.0,2,2,0,7,not acept,not furnished,1972.0
Rio de Janeiro,85.0,2,2,1,12,acept,furnished,13380.0
Porto Alegre,140.0,3,4,2,12,acept,not furnished,5823.0
São Paulo,288.0,4,5,4,8,acept,not furnished,9879.0
São Paulo,64.0,3,1,1,2,acept,not furnished,1796.0
São Paulo,62.0,2,2,1,1,not acept,furnished,6025.0
Rio de Janeiro,15.0,1,1,0,0,acept,not furnished,710.0
São Paulo,200.0,4,3,2,8,acept,not furnished,8511.0
Belo Horizonte,450.0,4,3,4,8,acept,furnished,15640.0
São Paulo,72.0,3,2,1,11,acept,not furnished,3849.0
Rio de Janeiro,75.0,2,1,1,6,acept,not furnished,2785.0
São Paulo,20.0,1,1,0,0,acept,not furnished,589.0
São Paulo,77.0,2,2,1,6,acept,not furnished,4019.0
São Paulo,57.0,1,1,0,5,acept,furnished,6394.0
São Paulo,103.0,3,3,0,6,acept,not furnished,7927.0
São Paulo,180.0,3,2,1,8,acept,furnished,14490.0
Porto Alegre,80.0,2,1,1,1,acept,not furnished,850.0
São Paulo,25.0,1,1,1,8,acept,furnished,4051.0
Campinas,248.0,3,4,4,2,acept,not furnished,11420.0
Belo Horizonte,360.0,6,2,0,0,not acept,not furnished,8884.0
São Paulo,62.0,1,1,0,4,acept,furnished,3000.0
São Paulo,85.0,2,1,0,2,acept,not furnished,2082.0
Porto Alegre,187.0,3,3,2,0,acept,furnished,2953.0
São Paulo,58.0,2,3,2,0,not acept,not furnished,2081.0
Belo Horizonte,93.0,2,1,0,12,not acept,not furnished,2167.0
São Paulo,28.0,1,1,0,5,acept,not furnished,2517.0
Campinas,120.0,3,2,5,0,acept,not furnished,1801.0
Rio de Janeiro,70.0,1,2,0,0,not acept,not furnished,1219.0
São Paulo,162.0,2,3,3,3,not acept,furnished,18350.0
São Paulo,210.0,3,2,3,0,acept,not furnished,4771.0
Belo Horizonte,300.0,3,2,2,0,acept,not furnished,2765.0
São Paulo,40.0,1,1,1,12,acept,not furnished,2606.0
São Paulo,270.0,3,4,4,4,acept,furnished,8989.0
São Paulo,65.0,2,1,1,8,acept,furnished,5085.0
Porto Alegre,83.0,2,2,1,5,acept,not furnished,1938.0
São Paulo,340.0,4,5,5,9,acept,not furnished,14310.0
Belo Horizonte,28.0,1,1,1,6,not acept,furnished,1687.0
São Paulo,70.0,1,1,0,0,acept,not furnished,1004.0
Belo Horizonte,300.0,3,2,2,0,acept,not furnished,4250.0
São Paulo,423.0,4,5,7,28,acept,not furnished,22610.0
São Paulo,16.0,1,1,0,1,not acept,not furnished,896.0
Porto Alegre,38.0,1,1,0,3,acept,not furnished,1672.0
Belo Horizonte,210.0,4,4,4,3,acept,not furnished,9920.0
São Paulo,380.0,4,5,5,2,acept,not furnished,11070.0
Rio de Janeiro,289.0,3,2,1,6,acept,not furnished,8732.0
São Paulo,28.0,1,1,0,0,acept,not furnished,1317.0
Campinas,83.0,2,3,1,7,acept,not furnished,2662.0
São Paulo,120.0,4,3,3,8,acept,not furnished,5776.0
Porto Alegre,60.0,2,2,1,6,acept,not furnished,1790.0
São Paulo,100.0,2,1,0,0,acept,not furnished,1242.0
São Paulo,108.0,4,3,2,4,acept,not furnished,8326.0
São Paulo,345.0,2,3,2,4,not acept,not furnished,16590.0
São Paulo,210.0,3,4,4,13,acept,furnished,12250.0
Rio de Janeiro,80.0,2,1,0,3,acept,furnished,6003.0
São Paulo,270.0,4,4,4,4,acept,not furnished,6837.0
Porto Alegre,60.0,2,1,0,3,acept,not furnished,1117.0
Rio de Janeiro,64.0,2,1,1,1,acept,not furnished,3920.0
Rio de Janeiro,90.0,2,2,0,4,not acept,furnished,5927.0
São Paulo,157.0,3,3,1,5,acept,not furnished,6230.0
Campinas,100.0,3,2,1,3,acept,not furnished,2083.0
Campinas,86.0,3,2,2,3,acept,not furnished,2871.0
São Paulo,56.0,2,1,1,13,not acept,not furnished,2222.0
Rio de Janeiro,40.0,1,1,0,7,not acept,furnished,3810.0
São Paulo,188.0,3,4,1,8,acept,not furnished,12790.0
Campinas,44.0,2,1,1,4,acept,furnished,2167.0
Rio de Janeiro,300.0,3,2,0,5,acept,not furnished,6718.0
Rio de Janeiro,101.0,3,3,2,4,acept,not furnished,7605.0
Belo Horizonte,130.0,3,1,1,2,acept,not furnished,2320.0
São Paulo,120.0,4,3,3,16,acept,not furnished,8049.0
São Paulo,200.0,3,4,2,0,acept,not furnished,4044.0
São Paulo,140.0,3,4,2,24,acept,not furnished,10650.0
Rio de Janeiro,100.0,3,1,0,12,acept,not furnished,5027.0
São Paulo,260.0,5,3,0,0,acept,not furnished,6183.0
São Paulo,77.0,2,2,2,18,acept,not furnished,3789.0
Campinas,45.0,1,1,0,1,acept,not furnished,814.0
Campinas,44.0,2,1,2,0,acept,not furnished,1286.0
Porto Alegre,84.0,1,2,0,0,acept,furnished,2533.0
Belo Horizonte,53.0,3,1,0,4,acept,not furnished,1312.0
São Paulo,200.0,3,4,2,0,acept,not furnished,3591.0
Campinas,75.0,3,2,1,2,acept,not furnished,1192.0
Porto Alegre,120.0,2,2,1,3,acept,furnished,2997.0
Belo Horizonte,70.0,2,1,0,0,not acept,not furnished,1047.0
Campinas,100.0,3,2,0,2,not acept,not furnished,1715.0
Porto Alegre,73.0,2,2,1,6,acept,furnished,3030.0
Rio de Janeiro,70.0,2,1,1,5,not acept,not furnished,3806.0
São Paulo,110.0,2,4,2,2,acept,furnished,9056.0
São Paulo,200.0,3,2,2,8,acept,not furnished,4665.0
São Paulo,75.0,2,2,2,6,acept,not furnished,2141.0
São Paulo,96.0,2,1,1,0,acept,furnished,3525.0
Rio de Janeiro,270.0,3,2,1,6,not acept,not furnished,7052.0
São Paulo,100.0,1,1,0,0,acept,furnished,2899.0
Belo Horizonte,195.0,4,2,2,0,acept,not furnished,3692.0
Rio de Janeiro,102.0,3,2,0,12,not acept,not furnished,4420.0
São Paulo,310.0,4,4,8,0,acept,not furnished,6104.0
São Paulo,63.0,2,2,1,16,acept,not furnished,2667.0
São Paulo,131.0,3,2,2,6,not acept,furnished,4973.0
São Paulo,37.0,1,1,1,25,not acept,furnished,3479.0
São Paulo,145.0,3,2,2,0,acept,furnished,3174.0
São Paulo,135.0,3,3,1,10,acept,furnished,6205.0
Porto Alegre,67.0,3,2,1,1,acept,not furnished,1882.0
São Paulo,25.0,1,1,0,1,not acept,not furnished,1094.0
Belo Horizonte,300.0,4,4,4,0,acept,not furnished,6645.0
São Paulo,190.0,3,2,2,9,acept,not furnished,7965.0
São Paulo,105.0,3,2,2,2,acept,not furnished,8988.0
São Paulo,48.0,1,1,2,5,not acept,furnished,6119.0
Porto Alegre,170.0,2,3,1,0,acept,not furnished,1374.0
São Paulo,75.0,3,2,1,11,not acept,not furnished,3115.0
São Paulo,520.0,3,4,8,0,not acept,not furnished,11160.0
Rio de Janeiro,37.0,1,1,0,7,acept,not furnished,2711.0
São Paulo,305.0,3,6,3,8,acept,furnished,14940.0
Rio de Janeiro,80.0,2,2,1,2,acept,not furnished,5092.0
Campinas,69.0,2,2,1,14,acept,not furnished,2278.0
São Paulo,36.0,1,1,1,13,acept,not furnished,2124.0
São Paulo,28.0,1,1,0,1,acept,not furnished,2746.0
Porto Alegre,110.0,1,2,1,4,acept,not furnished,2789.0
Porto Alegre,88.0,2,1,0,1,acept,furnished,1616.0
São Paulo,500.0,5,7,7,0,acept,not furnished,17170.0
São Paulo,122.0,3,2,1,17,acept,not furnished,4992.0
Belo Horizonte,85.0,2,1,1,3,acept,not furnished,1605.0
São Paulo,36.0,1,1,0,10,acept,furnished,1996.0
Belo Horizonte,80.0,3,2,1,2,acept,not furnished,2841.0
São Paulo,114.0,3,3,0,7,not acept,not furnished,4340.0
Belo Horizonte,150.0,3,2,2,1,acept,not furnished,2670.0
São Paulo,70.0,2,1,0,6,acept,not furnished,2303.0
São Paulo,370.0,4,4,3,0,acept,not furnished,9019.0
Campinas,47.0,1,1,1,18,acept,furnished,3452.0
São Paulo,70.0,3,2,2,13,not acept,not furnished,3731.0
São Paulo,70.0,2,2,2,16,acept,not furnished,4826.0
São Paulo,50.0,2,3,0,0,not acept,not furnished,1851.0
Rio de Janeiro,37.0,1,1,0,1,acept,not furnished,3275.0
São Paulo,136.0,3,2,2,2,acept,not furnished,4634.0
Rio de Janeiro,60.0,2,1,0,6,not acept,furnished,2709.0
São Paulo,65.0,2,2,1,4,acept,not furnished,2450.0
Belo Horizonte,450.0,7,5,3,0,not acept,not furnished,8302.0
São Paulo,180.0,3,4,3,12,acept,furnished,5294.0
São Paulo,130.0,3,3,2,3,acept,not furnished,5483.0
São Paulo,200.0,3,2,6,0,acept,not furnished,2511.0
São Paulo,180.0,2,3,2,13,acept,not furnished,12660.0
Belo Horizonte,55.0,2,2,1,6,not acept,not furnished,2178.0
São Paulo,79.0,2,1,2,8,acept,not furnished,7035.0
São Paulo,47.0,1,1,1,3,acept,furnished,10540.0
São Paulo,65.0,2,1,1,3,acept,not furnished,3992.0
Campinas,292.0,4,4,3,13,acept,not furnished,5872.0
Belo Horizonte,181.0,4,2,2,1,acept,furnished,6018.0
São Paulo,327.0,5,4,5,0,acept,not furnished,13170.0
São Paulo,300.0,2,3,2,8,not acept,furnished,8685.0
São Paulo,366.0,4,5,5,8,acept,furnished,21030.0
Rio de Janeiro,115.0,3,3,1,7,acept,not furnished,4624.0
Belo Horizonte,216.0,4,5,5,12,acept,not furnished,8200.0
São Paulo,70.0,2,1,1,3,not acept,not furnished,1586.0
São Paulo,170.0,3,3,2,0,acept,not furnished,5318.0
São Paulo,65.0,3,2,2,3,acept,not furnished,3285.0
São Paulo,88.0,3,3,2,5,acept,not furnished,3827.0
São Paulo,54.0,1,1,0,8,acept,not furnished,2247.0
São Paulo,95.0,1,2,2,15,acept,not furnished,10530.0
São Paulo,800.0,4,5,4,9,acept,not furnished,24530.0
São Paulo,75.0,1,1,0,0,not acept,not furnished,1472.0
Rio de Janeiro,38.0,1,1,0,10,acept,furnished,2670.0
São Paulo,178.0,2,4,3,2,acept,not furnished,8727.0
São Paulo,310.0,2,6,3,11,not acept,not furnished,9141.0
São Paulo,66.0,1,1,1,1,acept,furnished,3233.0
Rio de Janeiro,90.0,3,2,0,4,acept,not furnished,3646.0
São Paulo,180.0,3,3,2,11,acept,furnished,8029.0
Rio de Janeiro,40.0,1,1,0,2,acept,not furnished,1615.0
São Paulo,150.0,3,2,1,5,acept,not furnished,7091.0
São Paulo,37.0,1,1,0,12,not acept,not furnished,3352.0
São Paulo,71.0,2,2,1,3,acept,not furnished,3800.0
São Paulo,130.0,3,2,2,5,acept,not furnished,7048.0
Rio de Janeiro,75.0,2,2,1,1,acept,not furnished,3870.0
São Paulo,45.0,1,1,1,2,acept,furnished,2950.0
Campinas,260.0,4,3,4,0,acept,furnished,7114.0
São Paulo,63.0,2,2,1,1,not acept,not furnished,2047.0
São Paulo,99.0,2,1,1,6,not acept,not furnished,5780.0
São Paulo,170.0,4,4,3,9,acept,not furnished,10940.0
Belo Horizonte,67.0,2,2,1,3,acept,furnished,2093.0
São Paulo,126.0,2,2,2,8,acept,not furnished,3593.0
Rio de Janeiro,70.0,2,2,2,3,acept,not furnished,2887.0
Rio de Janeiro,57.0,1,1,1,3,acept,not furnished,2457.0
Porto Alegre,27.0,1,1,0,6,not acept,not furnished,1018.0
Campinas,78.0,1,2,1,6,acept,not furnished,2676.0
São Paulo,1100.0,4,6,10,0,acept,not furnished,19210.0
São Paulo,162.0,2,2,3,6,acept,furnished,17300.0
São Paulo,85.0,2,2,2,4,acept,furnished,3901.0
Rio de Janeiro,67.0,2,1,1,2,acept,not furnished,1857.0
Rio de Janeiro,122.0,3,1,0,6,acept,furnished,3246.0
